time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms
1,0,0,0,0,0,0,0
2,0,0,0,0,6.22621,0.351919,6.57792
3,0,0,0,0,3.22442,0.341294,3.56529
4,0,0,0,0,2.22382,0.337752,2.56109
5,0,0,0,0,1.72352,0.335981,2.05898
6,0,0,0,0,1.42334,0.334919,1.75772
7,0,0,0,0,1.22322,0.33421,1.55688
8,0,0,0,0,1.08028,0.333704,1.41342
9,0,0,0,0,0.973074,0.333325,1.30582
10,0,0,0,0,0.889691,0.33303,1.22214
11,0,0,0,0,0.922248,0.33339,1.25506
12,0,0,0,0,0.850228,0.333111,1.18276
13,0,0,0,0,0.910352,0.332859,1.24262
14,0,0,0,0,0.844853,0.33265,1.17691
15,0,0,0,0,0.792656,0.332455,1.12452
16,0,0,0,0,0.742353,0.332292,1.07406
17,0,0,0,0,0.700208,0.332154,1.03178
18,0,0,0,0,0.707252,0.332025,1.03869
19,0,0,0,0,0.67025,0.331914,1.00159
20,0,0,0,0,0.638496,0.331812,0.969741
21,0,0,0,0,0.613535,0.331734,0.944708
22,0,0,0,0,0.5914,0.331666,0.922509
23,0,0,0,0,0.573729,0.331613,0.904786
24,0,0,0,0,0.557673,0.331564,0.888684
25,0,0,0,0,0.543021,0.331521,0.873991
26,0,0,0,0,0.529598,0.331482,0.860529
27,0,0,0,0,0.518741,0.33145,0.849642
28,0,0,0,0,0.508627,0.331421,0.839499
29,0,0,0,0,0.499181,0.33139,0.830026
30,0,0,0,0,0.491569,0.331365,0.822393
31,0,0,0,0,0.485536,0.331348,0.816344
32,0,0,0,0,0.504286,0.331673,0.835419
33,0,0,0,0,0.498238,0.331649,0.829348
34,0,0,0,0,0.523401,0.331841,0.854703
35,0.06,3.2,0,1.22636,0.563442,0.332065,0.894968
36,0.6,129.014,0,39.1553,0.554046,0.332025,0.885533
37,0.72,196.8,0,60.5878,0.546393,0.331989,0.877847
38,0.84,200,0,77.189,0.539086,0.331954,0.870507
39,0.84,200,0,72.7185,0.5321,0.331921,0.863491
40,0.84,200,0,67.3775,0.525416,0.33189,0.856778
41,0.84,200,0,62.5183,0.519015,0.331859,0.850349
42,0.84,200,0,58.6606,0.528056,0.331827,0.859359
43,0.84,200,0,55.2405,0.520877,0.331795,0.852151
44,0.84,200,0,52.2808,0.518271,0.332272,0.850023
45,0.84,200,0,50.3373,0.511654,0.332231,0.843368
46,0.94,200,0,80.7312,0.505327,0.332192,0.837005
47,0.94,200,0,74.5644,0.49927,0.332155,0.830913
48,0.94,200,0,72.4474,0.503492,0.332425,0.835407
49,1,200,0,72.6277,0.496935,0.332379,0.828807
50,1,200,0,76.6241,0.490677,0.332332,0.822508
51,1,200,0,74.3807,0.484698,0.332287,0.81649
52,1,200,0,72.4546,0.47968,0.33225,0.811438
53,1,200,0,70.7992,0.474849,0.332214,0.806576
54,1,200,0,69.111,0.494717,0.332244,0.826477
55,1,200,0,67.495,0.489115,0.332205,0.82084
56,1,200,0,66.3831,0.484398,0.332172,0.816094
57,1,200,0,66.7237,0.479846,0.332141,0.811513
58,1,200,0,67.0042,0.475449,0.332111,0.807089
59,1,200,0,65.7135,0.4712,0.332082,0.802813
60,1,200,0,65.447,0.473568,0.332055,0.805157
61,1,200,0,65.2372,0.470063,0.332033,0.80163
62,1,200,0,62.5918,0.466654,0.332011,0.798201
63,1,200,0,62.6785,0.462795,0.331985,0.794319
64,1,200,0,63.3767,0.459057,0.331962,0.790558
65,1,200,0,63.6595,0.455432,0.33194,0.786911
